L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
1,1552,93,1,17,24710,0,0,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON,TRUCK,egular courts above the
1,674,75,2,36,56688,0,0,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN,MAIL,"ly final dependencies: slyly bold "
1,637,38,3,8,12301,0,0,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN,REG AIR,"riously. regular, express dep"
1,22,48,4,28,25817,0,0,N,O,1996-04-21,1996-03-30,1996-05-16,NONE,AIR,lites. fluffily even de
1,241,23,5,24,27390,0,0,N,O,1996-03-30,1996-03-14,1996-04-01,NONE,FOB," pending foxes. slyly re"
1,157,10,6,32,33829,0,0,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON,MAIL,arefully slyly ex
2,1062,33,1,38,36596,0,0,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN,RAIL,ven requests. deposits breach a
4,881,81,1,30,53456,0,0,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON,REG AIR,- quickly regular packages sleep. idly
7,1821,51,1,12,20674,0,0,N,O,1996-05-07,1996-03-13,1996-06-03,TAKE BACK RETURN,FOB,ss pinto beans wake against th
7,1453,93,2,9,12190,0,0,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN,SHIP,es. instructions
7,948,17,3,46,85051,0,0,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD,MAIL," unusual reques"
7,1631,32,4,28,42914,0,0,N,O,1996-03-21,1996-04-08,1996-04-20,NONE,FOB,. slyly special requests haggl
7,1519,40,5,38,53979,0,0,N,O,1996-02-11,1996-02-24,1996-02-18,DELIVER IN PERSON,TRUCK,ns haggle carefully ironic deposits. bl
7,793,26,6,35,59283,0,0,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN,FOB,"jole. excuses wake carefully alongside of "
7,1573,54,7,5,7373,0,0,N,O,1996-02-10,1996-03-26,1996-02-13,NONE,FOB,ithely regula
34,884,18,1,13,23203,0,0,N,O,1998-10-23,1998-09-14,1998-11-06,NONE,REG AIR,nic accounts. deposits are alon
34,895,29,2,22,39510,0,0,N,O,1998-10-09,1998-10-16,1998-10-12,NONE,FOB,thely slyly p
34,1696,79,3,6,9586,0,0,N,O,1998-10-30,1998-09-20,1998-11-05,NONE,FOB,"ar foxes sleep "
35,5,31,1,24,21720,0,0,N,O,1996-02-21,1996-01-03,1996-03-18,TAKE BACK RETURN,FOB,", regular tithe"
35,1620,62,2,34,51735,0,0,N,O,1996-01-22,1996-01-06,1996-01-27,DELIVER IN PERSON,RAIL,s are carefully against the f
35,1209,21,3,7,7771,0,0,N,O,1996-01-19,1995-12-22,1996-01-29,NONE,MAIL," the carefully regular "
35,308,37,6,28,33832,0,0,N,O,1996-02-01,1995-12-24,1996-02-28,COLLECT COD,RAIL,"ly alongside of "
36,1198,99,1,42,46166,0,0,N,O,1996-02-03,1996-01-21,1996-02-23,COLLECT COD,SHIP," careful courts. special "
38,1759,44,1,44,73073,0,0,N,O,1996-09-29,1996-11-17,1996-09-30,COLLECT COD,MAIL,s. blithely unusual theodolites am
39,24,100,1,44,40657,0,0,N,O,1996-11-14,1996-12-15,1996-12-12,COLLECT COD,RAIL,eodolites. careful
39,1866,96,2,26,45964,0,0,N,O,1996-11-04,1996-10-20,1996-11-20,NONE,FOB,ckages across the slyly silent
39,679,73,3,46,72665,0,0,N,O,1996-09-26,1996-12-19,1996-10-26,DELIVER IN PERSON,AIR,he carefully e
39,206,34,4,32,35398,0,0,N,O,1996-10-02,1996-12-19,1996-10-14,COLLECT COD,MAIL,heodolites sleep silently pending foxes. ac
39,546,7,5,43,62201,0,0,N,O,1996-10-17,1996-11-14,1996-10-26,COLLECT COD,MAIL,yly regular i
39,944,79,6,40,73798,0,0,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,AIR,quickly ironic fox
67,217,99,1,4,4469,0,0,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,SHIP," cajole thinly expres"
67,202,57,2,12,13226,0,0,N,O,1997-01-27,1997-02-21,1997-02-22,NONE,REG AIR," even packages cajole"
67,1736,79,3,5,8189,0,0,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,TRUCK,"y unusual packages thrash pinto "
67,876,77,4,44,78182,0,0,N,O,1997-03-18,1997-01-29,1997-04-13,DELIVER IN PERSON,RAIL,"se quickly above the even, express reques"
67,407,95,5,23,30070,0,0,N,O,1997-04-19,1997-02-14,1997-05-06,DELIVER IN PERSON,REG AIR,ly regular deposit
67,1784,27,6,29,48888,0,0,N,O,1997-01-25,1997-01-27,1997-01-27,DELIVER IN PERSON,FOB,"ultipliers "
68,71,97,1,3,2913,0,0,N,O,1998-07-04,1998-06-05,1998-07-21,NONE,RAIL,fully special instructions cajole. furious
68,1752,79,2,46,76073,0,0,N,O,1998-06-26,1998-06-07,1998-07-05,NONE,MAIL," requests are unusual, regular pinto "
68,350,79,3,46,57516,0,0,N,O,1998-08-13,1998-07-08,1998-08-29,NONE,RAIL,"egular dependencies affix ironically along "
68,948,51,4,20,36979,0,0,N,O,1998-06-27,1998-05-23,1998-07-02,NONE,REG AIR," excuses integrate fluffily "
68,828,62,5,27,46678,0,0,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,SHIP,ccounts. deposits use. furiously
68,1026,62,6,30,27811,0,0,N,O,1998-08-11,1998-07-11,1998-08-14,NONE,RAIL,oxes are slyly blithely fin
68,1393,32,7,41,53070,0,0,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,SHIP,eposits nag special ideas. furiousl
71,620,21,1,25,38016,0,0,N,O,1998-04-10,1998-04-22,1998-04-11,COLLECT COD,FOB,ckly. slyly
71,660,54,2,3,4682,0,0,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,SHIP,y. pinto beans haggle after the
71,345,30,3,45,56040,0,0,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,SHIP," ironic packages believe blithely a"
71,967,2,4,33,61643,0,0,N,O,1998-04-12,1998-03-20,1998-04-15,NONE,FOB," serve quickly fluffily bold deposi"
71,1033,69,5,39,36427,0,0,N,O,1998-01-29,1998-04-07,1998-02-18,DELIVER IN PERSON,RAIL,l accounts sleep across the pack
71,1957,46,6,34,63204,0,0,N,O,1998-03-05,1998-04-22,1998-03-30,DELIVER IN PERSON,TRUCK,"s cajole. "
100,621,22,1,28,42605,0,0,N,O,1998-05-08,1998-05-13,1998-06-07,COLLECT COD,TRUCK,sts haggle. slowl
100,1160,97,2,22,23346,0,0,N,O,1998-06-24,1998-04-12,1998-06-29,DELIVER IN PERSON,SHIP,nto beans alongside of the fi
100,462,92,3,46,62673,0,0,N,O,1998-05-02,1998-04-10,1998-05-22,TAKE BACK RETURN,SHIP,ular accounts. even
100,381,38,4,14,17939,0,0,N,O,1998-05-22,1998-05-01,1998-06-03,COLLECT COD,MAIL,y. furiously ironic ideas gr
100,535,26,5,37,53115,0,0,N,O,1998-03-06,1998-04-16,1998-03-31,TAKE BACK RETURN,TRUCK,nd the quickly s
101,1183,92,1,49,53125,0,0,N,O,1996-06-21,1996-05-27,1996-06-29,DELIVER IN PERSON,REG AIR,ts-- final packages sleep furiousl
101,1634,58,2,36,55283,0,0,N,O,1996-05-19,1996-05-01,1996-06-04,DELIVER IN PERSON,AIR,tes. blithely pending dolphins x-ray f
101,1385,100,3,12,15437,0,0,N,O,1996-03-29,1996-04-20,1996-04-12,COLLECT COD,MAIL,. quickly regular
102,890,57,1,37,66263,0,0,N,O,1997-07-24,1997-08-02,1997-08-07,TAKE BACK RETURN,SHIP,ully across the ideas. final deposit
